,Plan,Fund_Name,p.a Return,Expense Ratio,Current Val
171,DEBT,UTI Treasury Advantage Fund,5.84%,0.34,6.95
172,EQUITY,SBI Small Cap Fund,21.58, 0.7,10.2
173,EQUITY,Nippon India Vision Fund,13.34,1.56,8.38
174,EQUITY,Canara Robeco Flexi Cap Fund,14.01,0.55,8.52
175,EQUITY,Bandhan Flexi Cap Fund,10.05, 1.2,7.72
176,DEBT,Nippon India Strategic Debt Fund,2.49%, 1.4,6.39
177,EQUITY,Tata Midcap Growth Fund,16.77,0.98,9.11
178,HYBRID,Franklin India Equity Hybrid Fund,12.27, 1.2,8.16
179,EQUITY,PGIM India Large Cap Fund,11.69,0.98,8.04
180,DEBT,Invesco India Short Term Fund,5.85%,0.35,6.95
181,HYBRID,Mirae Asset Hybrid Equity Fund,12.20,0.36,8.14
182,DEBT,Kotak Credit Risk Fund,5.58%,0.74,6.91
183,EQUITY,DSP Focus Fund,8.83%,1.08,7.49
184,DEBT,Tata Banking & PSU Debt Fund,.A.,0.23,.A.
185,DEBT,Canara Robeco Dynamic Bond Fund,5.63%,0.66,6.92
186,DEBT,Baroda BNP Paribas Low Duration Fund,5.88%,0.39,6.96
187,DEBT,DSP Strategic Bond Fund,6.10%,0.47,7 La
188,EQUITY,Motilal Oswal Long Term Equity Fund,13.56,0.78,8.42
189,HYBRID,HSBC Conservative Hybrid Fund,7.45%,1.34,7.24
190,DEBT,Canara Robeco Savings Fund,5.25%,0.31,6.85
191,HYBRID,Axis Regular Saver Fund,7.26%,0.86,7.2 
192,EQUITY,DSP Small Cap Fund,20.16, 0.9,9.9 
193,EQUITY,HSBC Large and Mid Cap Fund,.A.,1.08,.A.
194,HYBRID,Edelweiss Equity Savings Fund,8.95%, 0.7,7.51
195,EQUITY,Kotak Flexicap Fund,12.50,0.68,8.21
196,DEBT,PGIM India Banking & PSU Debt Fund,6.18%,0.25,7.01
197,DEBT,Bandhan Corporate Bond Fund,5.97%,0.31,6.97
198,HYBRID,ICICI Prudential Equity Arbitrage Fund,5.17%,0.39,6.84
199,DEBT,Sundaram Banking & PSU Debt Fund,5.18%,0.19,6.84
200,HYBRID,PGIM India Arbitrage Fund,4.91%,0.33,6.79
201,DEBT,Bandhan GSF Investment Fund,6.70%,0.62,7.1 
202,HYBRID,Canara Robeco Equity Hybrid Fund,12.28,0.63,8.16
203,DEBT,Baroda BNP Paribas Corporate Bond Fund,4.44%,0.32,6.71
204,EQUITY,Sundaram Large and Mid Cap Fund,13.04,0.72,8.32
205,EQUITY,DSP Top 100 Equity Fund,9.81%,1.27,7.68
206,DEBT,Canara Robeco Ultra Short Term Fund,4.84%, 0.4,6.78
207,HYBRID,SBI Arbitrage Opportunities Fund,5.12%,0.36,6.83
208,DEBT,DSP Corporate Bond Fund,.A.,0.25,.A.
209,EQUITY,Bandhan Emerging Businesses Fund,.A., 0.7,.A.
210,EQUITY,Sundaram Focused Fund,13.78,1.21,8.47
211,EQUITY,Canara Robeco Emerging Equities Fund,14.59, 0.6,8.64
212,DEBT,Canara Robeco Gilt Fund,5.82%,0.54,6.95
213,EQUITY,Baroda BNP Paribas Midcap Fund,17.79,0.59,9.34
214,HYBRID,Axis Retirement Savings Fund - Dynamic Plan,.A., 0.6,.A.
215,DEBT,ICICI Prudential Savings Fund,6.02%, 0.4,6.98
216,HYBRID,Aditya Birla Sun Life Equity Savings Fund,7.07%,1.21,7.17
217,HYBRID,Navi Equity Hybrid Fund,.A.,0.42,.A.
218,DEBT,Invesco India Banking & PSU Debt Fund,5.19%,0.28,6.84
219,DEBT,Axis Dynamic Bond Fund,6.49%,0.26,7.07
220,DEBT,HSBC Banking and PSU Debt Fund,5.43%,0.23,6.88
221,EQUITY,Axis Focused 25 Fund,6.00%,0.74,6.98
222,EQUITY,HSBC Midcap Fund,12.64,0.74,8.23
223,HYBRID,Invesco India Equity Savings Fund,.A.,0.63,.A.
224,EQUITY,HSBC Large Cap Fund,11.40,1.26,7.98
225,DEBT,HSBC Low Duration Fund,5.50%,0.25,6.89
